City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guamal,CO,2022-11-30 04:10:47,9.1433,-74.2238,72.99,99,100,2.75
68,North Bend,US,2022-11-30 04:12:45,43.4065,-124.2243,47.07,95,100,8.05
69,Shumskiy,RU,2022-11-30 04:12:46,54.8318,99.1328,4.68,65,100,8.01
70,Jacqueville,CI,2022-11-30 04:12:46,5.2052,-4.4146,79.12,82,42,6.31
71,Krutikha,RU,2022-11-30 04:12:46,53.9599,81.2093,-4.02,81,100,2.84
72,Vila Velha,BR,2022-11-30 04:12:47,-20.3297,-40.2925,75.15,94,100,11.5
73,Brae,GB,2022-11-30 04:12:47,60.3964,-1.353,46.76,86,100,10.25
74,Luderitz,NA,2022-11-30 04:12:47,-26.6481,15.1594,59.9,90,0,7.25
75,Butaritari,KI,2022-11-30 04:12:47,3.0707,172.7902,81.21,75,16,9.93
76,Saskylakh,RU,2022-11-30 04:12:48,71.9167,114.0833,-23.93,99,100,6.78
77,Bereda,ES,2022-11-30 04:12:48,43.2686,-7.5406,44.42,100,92,2.24
78,Mar Del Plata,AR,2022-11-30 04:08:30,-38.0023,-57.5575,67.08,96,100,8.01
79,Palmerston,AU,2022-11-30 04:12:48,-12.486,130.9833,93.88,59,75,6.91
80,Thompson,CA,2022-11-30 04:12:49,55.7435,-97.8558,-0.63,93,100,14.14
81,Koygorodok,RU,2022-11-30 04:12:49,60.445,50.9968,16.81,96,100,4.36
82,Baykit,RU,2022-11-30 04:12:49,61.67,96.37,-14.87,99,85,3.89
83,Barrow,US,2022-11-30 04:12:49,71.2906,-156.7887,10.42,85,100,13.8
84,Provideniya,RU,2022-11-30 04:12:20,64.3833,-173.3,32.36,100,100,11.18
85,Flinders,AU,2022-11-30 04:12:50,-34.5833,150.8552,72.05,62,13,4.0
86,Senno,RU,2022-11-30 04:12:50,59.5336,33.9167,19.26,83,100,6.13
87,Itarema,BR,2022-11-30 04:11:32,-2.9248,-39.9167,76.12,84,100,3.27
88,Nuevo Progreso,MX,2022-11-30 04:12:50,23.1667,-97.95,74.46,77,77,3.13
89,Monte Azul,BR,2022-11-30 04:13:51,-15.155,-42.8747,67.53,96,97,3.74
90,Puerto Ayora,EC,2022-11-30 04:13:51,-0.7393,-90.3518,69.55,89,46,8.99
91,Bredasdorp,ZA,2022-11-30 04:13:51,-34.5322,20.0403,63.37,80,6,4.97
92,Slatina,RO,2022-11-30 04:13:52,44.4333,24.3667,39.51,78,100,12.59
93,Moberly,US,2022-11-30 04:13:52,39.4184,-92.4382,30.18,70,100,16.11
94,Busselton,AU,2022-11-30 04:13:52,-33.65,115.3333,82.9,43,0,15.26
95,Maua,BR,2022-11-30 04:13:52,-23.6678,-46.4614,66.49,93,100,2.59
96,Atuona,PF,2022-11-30 04:10:27,-9.8,-139.0333,77.81,72,13,14.58
97,Tiarei,PF,2022-11-30 04:13:53,-17.5333,-149.3333,84.0,78,13,11.25
98,New Norfolk,AU,2022-11-30 04:13:53,-42.7826,147.0587,65.7,49,100,8.01
99,Port Shepstone,ZA,2022-11-30 04:13:53,-30.7414,30.455,67.62,79,0,20.11
