City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,-1.14,95,100,16.44,overcast clouds
80,Port Hedland,AU,-20.3167,118.5667,86.05,26,69,8.05,broken clouds
81,Isangel,VU,-19.55,169.2667,84.31,79,40,4.61,scattered clouds
82,Kahului,US,20.8947,-156.47,80.96,64,0,23.02,clear sky
83,Tiksi,RU,71.6872,128.8694,-19.16,95,100,11.61,overcast clouds
84,Bengkulu,ID,-3.8004,102.2655,74.44,86,98,6.2,overcast clouds
85,Geraldton,AU,-28.7667,114.6,68.41,30,0,12.66,clear sky
86,Nanortalik,GL,60.1432,-45.2371,23.92,80,71,5.7,broken clouds
87,Tasiilaq,GL,65.6145,-37.6368,24.96,53,2,4.32,clear sky
88,Visnes,NO,59.3556,5.2242,32.22,59,0,11.5,clear sky
89,Kawalu,ID,-7.3817,108.2082,70.88,93,69,1.54,broken clouds
90,Hithadhoo,MV,-0.6,73.0833,81.66,76,100,15.55,overcast clouds
91,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,9.22,few clouds
92,Hovd,MN,48.0056,91.6419,-0.42,70,91,4.94,overcast clouds
93,Honningsvag,NO,70.9821,25.9704,20.95,86,20,20.71,few clouds
94,Zhigansk,RU,66.7697,123.3711,-26.91,97,100,10.18,overcast clouds
95,Pisco,PE,-13.7,-76.2167,73.45,68,0,16.11,clear sky
96,Avarua,CK,-21.2078,-159.775,77.05,65,75,12.66,broken clouds
97,Bahir Dar,ET,11.5936,37.3908,63.36,72,94,1.59,light rain
98,Atuona,PF,-9.8,-139.0333,78.13,78,14,19.04,few clouds
99,Santa Cruz,BO,-17.8,-63.1667,80.65,74,75,11.5,broken clouds
100,Makueni,KE,-1.8041,37.6203,62.29,94,95,1.61,overcast clouds
101,Hambantota,LK,6.1241,81.1185,73.74,100,20,2.3,few clouds
102,Ballina,AU,-28.8667,153.5667,76.78,81,55,13.53,broken clouds
103,Gamboma,CG,-1.8764,15.8644,74.62,77,91,1.52,overcast clouds
104,Angoche,MZ,-16.2325,39.9086,79.14,82,100,3.18,overcast clouds
105,Yeniseysk,RU,58.4497,92.1703,-34.42,100,36,0.92,scattered clouds
106,Nome,US,64.5011,-165.4064,26.67,93,75,6.91,broken clouds
107,Sitka,US,57.0531,-135.33,30.09,69,40,0.0,scattered clouds
108,Mnogovershinnyy,RU,53.9353,139.9242,-10.32,80,14,5.77,few clouds
109,Richards Bay,ZA,-28.783,32.0377,72.25,92,100,3.67,light rain
110,Rockhampton,AU,-23.3833,150.5,78.69,78,29,6.91,scattered clouds
111,Fengzhen,CN,40.4394,113.1536,12.16,38,0,23.06,clear sky
112,Betsiamites,CA,48.9413,-68.646,14.4,58,6,6.58,clear sky
113,Hukuntsi,BW,-24.0,21.75,73.18,59,82,13.09,light rain
114,Port Lincoln,AU,-34.7333,135.8667,58.53,54,12,21.12,few clouds
115,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,75,6.91,broken clouds
116,Nagato,JP,34.3833,131.2,45.32,68,37,11.68,scattered clouds
117,Haines Junction,CA,60.7522,-137.5108,-16.65,76,100,0.0,overcast clouds
118,Kedrovyy,RU,56.1667,91.8167,-23.39,100,48,2.82,scattered clouds
119,Jumla,NP,29.2747,82.1838,39.58,18,3,5.57,clear sky
120,Victoria,HK,22.2855,114.1577,62.26,75,100,11.99,overcast clouds
121,Makamba,BI,-4.1348,29.804,62.53,89,100,2.62,overcast clouds
122,Hasaki,JP,35.7333,140.8333,45.21,54,100,23.09,overcast clouds
123,Mezen,RU,65.8522,44.24,-7.67,100,79,2.15,broken clouds
124,Srednekolymsk,RU,67.45,153.6833,-43.87,99,64,7.27,broken clouds
125,Luderitz,NA,-26.6481,15.1594,64.02,92,11,2.24,few clouds
126,Namatanai,PG,-3.6667,152.4333,81.59,77,52,5.77,light rain
127,Piacabucu,BR,-10.4056,-36.4344,78.17,82,96,9.8,overcast clouds
128,Namibe,AO,-15.1961,12.1522,68.32,79,33,5.21,scattered clouds
129,Honiara,SB,-9.4333,159.95,82.71,72,75,1.99,broken clouds
130,Salinopolis,BR,-0.6136,-47.3561,79.88,78,80,10.78,broken clouds
131,Codrington,AU,-38.2667,141.9667,54.95,77,44,18.07,scattered clouds
132,Chokurdakh,RU,70.6333,147.9167,-23.8,100,97,7.11,overcast clouds
133,Athabasca,CA,54.7169,-113.2854,5.41,88,97,10.89,overcast clouds
134,Point Pedro,LK,9.8167,80.2333,75.94,91,72,13.94,broken clouds
135,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.59,87,100,3.74,overcast clouds
136,Marion,US,39.7684,-86.1555,43.21,73,100,5.75,overcast clouds
137,Carutapera,BR,-1.195,-46.02,78.75,81,66,6.76,broken clouds
138,San Policarpo,PH,12.1791,125.5072,76.35,90,100,3.76,overcast clouds
139,Nusaybin,TR,37.0778,41.2178,51.01,56,100,3.18,overcast clouds
140,Caborca,MX,30.5838,-111.101,70.03,14,76,13.47,broken clouds
141,Bathsheba,BB,13.2167,-59.5167,79.41,77,40,6.91,scattered clouds
142,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,40,16.11,scattered clouds
